user_id,type,event,key,x,y,time
friend01,key,release,Key.enter,,,0.1248
friend01,key,press,e,,,0.8223
friend01,key,press,f,,,0.9201
friend01,key,press,d,,,0.9277
friend01,key,press,k,,,0.9521
friend01,key,release,e,,,0.9554
friend01,key,release,d,,,0.9681
friend01,key,press,j,,,1.0526
friend01,key,release,f,,,1.1162
friend01,key,release,k,,,1.2618
friend01,key,release,j,,,1.3106
friend01,key,press,k,,,1.5391
friend01,key,release,k,,,1.7733
friend01,key,press,k,,,1.9659
friend01,key,press,e,,,2.0743
friend01,key,release,k,,,2.2273
friend01,key,release,e,,,2.2372
friend01,key,press,n,,,2.2751
friend01,key,release,n,,,2.4792
friend01,key,press,c,,,2.5414
friend01,key,press,e,,,2.732
friend01,key,release,c,,,2.7389
friend01,key,press,j,,,2.8491
friend01,key,release,e,,,2.9115
friend01,key,release,j,,,3.0652
friend01,key,press,k,,,3.2117
friend01,key,press,j,,,3.2575
friend01,key,release,j,,,3.3801
friend01,key,release,k,,,3.3881
friend01,key,press,k,,,3.4979
friend01,key,release,k,,,3.6124
friend01,key,press,o,,,4.0921
friend01,key,release,o,,,4.2345
friend01,key,press,p,,,4.3699
friend01,key,release,p,,,4.572
friend01,key,press,q,,,4.572
friend01,key,press,w,,,4.6524
friend01,key,release,q,,,4.8176
friend01,key,release,w,,,4.8258
friend01,key,press,q,,,4.9534
friend01,key,release,q,,,5.0888
friend01,key,press,4,,,6.108
friend01,key,press,3,,,6.1161
friend01,key,release,3,,,6.3851
friend01,key,release,4,,,6.4244
friend01,key,press,3,,,6.5179
friend01,key,press,4,,,6.5712
friend01,key,press,y,,,6.699
friend01,key,release,3,,,6.7591
friend01,key,release,4,,,6.7717
friend01,key,release,y,,,6.8504
friend01,key,press,k,,,20.6067
friend01,key,press,j,,,20.666
friend01,key,press,b,,,20.783
friend01,key,release,k,,,20.9037
friend01,key,press,w,,,20.9259
friend01,key,press,e,,,20.9343
friend01,key,release,j,,,20.9496
friend01,key,release,b,,,20.9848
friend01,key,press,f,,,20.9996
friend01,key,release,w,,,21.078
friend01,key,release,e,,,21.1451
friend01,key,press,k,,,21.216
friend01,key,release,f,,,21.2313
friend01,key,release,k,,,21.4262
friend01,key,press,k,,,21.5078
friend01,key,release,k,,,21.6166
friend01,key,press,k,,,21.6954
friend01,key,release,k,,,21.7911
friend01,key,press,k,,,21.8648
friend01,key,release,k,,,21.9954
friend01,key,press,e,,,22.1433
friend01,key,press,f,,,22.3568
friend01,key,press,d,,,22.4364
friend01,key,release,e,,,22.4444
friend01,key,release,d,,,22.5407
friend01,key,release,f,,,22.5693
friend01,key,press,e,,,22.6612
friend01,key,release,e,,,22.8505
friend01,key,press,m,,,22.9633
friend01,key,press,n,,,22.9682
friend01,key,release,m,,,23.0904
friend01,key,release,n,,,23.251
friend01,key,press,v,,,23.2725
friend01,key,press,c,,,23.3624
friend01,key,press,x,,,23.3965
friend01,key,release,v,,,23.4774
friend01,key,release,c,,,23.5252
friend01,key,release,x,,,23.5439
friend01,key,press,Key.space,,,23.6046
friend01,key,release,Key.space,,,23.7631
friend01,key,press,k,,,24.1017
friend01,key,press,l,,,24.1498
friend01,key,press,s,,,24.2157
friend01,key,press,f,,,24.2213
friend01,key,press,h,,,24.4174
friend01,key,release,k,,,24.4494
friend01,key,release,l,,,24.4582
friend01,key,release,s,,,24.4622
friend01,key,release,f,,,24.4693
friend01,key,release,h,,,24.5132
friend01,key,press,Key.space,,,24.6412
friend01,key,release,Key.space,,,24.755
friend01,key,press,<97>,,,25.3509
friend01,key,press,<102>,,,25.4808
friend01,key,release,<97>,,,25.5703
friend01,key,press,<101>,,,25.6343
friend01,key,release,<102>,,,25.6896
friend01,key,release,<101>,,,25.779
friend01,key,press,<101>,,,25.9733
friend01,key,release,<101>,,,26.0996
friend01,key,press,<101>,,,26.1899
friend01,key,release,<101>,,,26.3008
friend01,key,press,Key.enter,,,30.8598
friend01,key,release,Key.enter,,,30.9632
friend01,key,press,Key.esc,,,32.0086
friend01,key,release,Key.esc,,,32.1223
friend01,mouse,move,,1181,342,7.9038
friend01,mouse,move,,1148,374,7.9038
friend01,mouse,move,,1114,413,7.9196
friend01,mouse,move,,1078,452,7.9232
friend01,mouse,move,,1046,491,7.9315
friend01,mouse,move,,1012,533,7.9364
friend01,mouse,move,,980,571,7.9364
